	ReqID	NeedID	ReqText	NeedText	r01_structured_statements	r02_active_voice	r03_appropriate_subject_verb	r04_defined_terms	r05_definite_articles	r06_common_units_of_measure	r07_vague_terms	r08_escape_clauses	r09_open_ended_clauses	r10_superfluous_infinitives	r11_separate_clauses	r12_correct_grammar	r13_correct_spelling	r14_correct_punctuation	r15_logical_expressions	r16_use_of_not	r17_use_of_oblique_symbol	r18_single_thought_sentence	r19_combinators	r20_purpose_phrases	r21_parentheses	r22_enumeration	r23_supporting_diagram_model_ICD	r24_pronouns	r25_headings	r26_absolutes	r27_explicit_conditions	r28_multiple_conditions	r29_classification	r30_unique_expression	r31_solution_free	r32_universal_qualification	r33_range_of_values	r34_measurable_performance	r35_temporal_dependencies	r36_consistent_terms_and_units	r37_acronyms	r38_abbreviations	r39_style_guide	r40_decimal_format	r41_related_needs_and_requirements	r42_structured_sets	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C1_norm	C2_norm	C3_norm	C4_norm	C5_norm	C6_norm	C7_norm	C8_norm	C9_norm	C10_norm	C11_norm	C12_norm	C13_norm	C14_norm	C15_norm	wRQ
3.8.3.3.6	101.3.15	101.3	If the vehicle speed is greater than the reduced speed zone, the SPDCOMPWZ application shall advise the driver in time for the driver to reduce vehicle speed to the posted speed limit before the vehicle enters the zone.	Need to manage speed in work zones –speed limit	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	3	22	12	6	2	19	11	9	4	9	2	7	6	6	0.5	1.0	0.7333333333333333	0.75	0.75	1.0	0.76	1.0	0.9	1.0	0.9	0.6666666666666666	0.875	0.8571428571428571	0.8571428571428571	0.9864293288554541
3.8.3.3.7	101.3.16	101.3	The SPDCOMPWZ application shall determine if the vehicle exceeds the Work Zone Posted Speed plus the Excessive Zone Speed Amount Threshold, for a period exceeding the Excessive Zone Speed Time Threshold.	Need to manage speed in work zones –speed limit	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	3	24	14	6	2	21	11	9	4	9	3	7	6	6	0.5	1.0	0.8	0.875	0.75	1.0	0.84	1.0	0.9	1.0	0.9	1.0	0.875	0.8571428571428571	0.8571428571428571	0.98962866143745
3.8.3.3.8	101.3.17	101.3	While the vehicle is in the speed zone, the SPDCOMPWZ application shall trigger a driver alert when the vehicle speed exceeds the Work Zone Posted Speed plus the Excessive Zone Speed Amount Threshold, for a period exceeding the Excessive Zone Speed Time Threshold.	Need to manage speed in work zones –speed limit	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	3	23	13	5	2	21	10	8	4	8	3	6	5	5	0.5	1.0	0.7666666666666667	0.8125	0.625	1.0	0.84	0.9090909090909091	0.8	1.0	0.8	1.0	0.75	0.7142857142857143	0.7142857142857143	0.9848611611143196
3.8.3.4.1	102.6.1	102.6	The RLVW Application shall receive the SPaT and MAP data sent by the RSUs to the vehicles deployed along the NYC CVPD corridors as per J2735.	Need to reduce crashes between vehicles	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	3	22	13	5	2	19	11	8	4	9	3	6	6	6	0.5	1.0	0.7333333333333333	0.8125	0.625	1.0	0.76	1.0	0.8	1.0	0.9	1.0	0.75	0.8571428571428571	0.8571428571428571	0.985104523422589
3.8.3.4.2	102.6.2	102.6	The RLVW application shall use the same time source as infrastructure SPaT applications.	Need to reduce crashes between vehicles	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	2	3	25	12	8	2	21	11	9	4	9	2	7	6	6	1.0	1.0	0.8333333333333334	0.75	1.0	1.0	0.84	1.0	0.9	1.0	0.9	0.6666666666666666	0.875	0.8571428571428571	0.8571428571428571	0.9938951341523954
3.8.3.4.3	102.6.9	102.6	The RLVW application shall acquire SPaT information, through the Host Vehicle ASD, from the intersection RSU and signal controller at a signalized intersection within RSU's DSRC range and in the vehicle's direction of travel.	Need to reduce crashes between vehicles	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	3	22	13	6	2	19	9	8	4	9	3	6	6	6	1.0	1.0	0.7333333333333333	0.8125	0.75	1.0	0.76	0.8181818181818182	0.8	1.0	0.9	1.0	0.75	0.8571428571428571	0.8571428571428571	0.9931795445589368
3.8.3.4.4	102.6.10	102.6	The RLVW application shall acquire the location of the stop bars at signalized intersections at which RLVW is operating from the intersection MAP Message.	Need to reduce crashes between vehicles	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	3	25	13	7	2	21	11	8	4	9	3	6	6	6	1.0	1.0	0.8333333333333334	0.8125	0.875	1.0	0.84	1.0	0.8	1.0	0.9	1.0	0.75	0.8571428571428571	0.8571428571428571	0.9954209543553214
3.8.3.4.5	102.6.11	102.6	The RLVW application shall acquire the following from Intersection SPaT messages for use in RLVW advisory and alert calculations: 1. Intersection geometric information 2. Signal Phase and Timing information of the traffic signal at the Intersection 3. Intersection status of the traffic controller 4. Traffic law restrictions for the intersection	Need to reduce crashes between vehicles	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	3	20	10	5	1	19	7	7	4	7	1	5	4	4	0.5	1.0	0.6666666666666666	0.625	0.625	0.5	0.76	0.6363636363636364	0.7	1.0	0.7	0.3333333333333333	0.625	0.5714285714285714	0.5714285714285714	0.9686911296376807
3.8.3.4.6	102.6.12	102.6	The Vehicle RLVW Application shall be inactive if one or more of the following conditions occur: 1. Vehicle position and accuracy information is not available 2. Vehicle Speed is not available 3. Communication failure between Vehicle and Infrastructure 4. SPaT information is not available 5. MAP information is not available 6. Vehicle Heading information is not available	Need to reduce crashes between vehicles	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	1	1	1	2	3	17	9	6	1	16	6	7	4	7	1	5	4	4	1.0	1.0	0.5666666666666667	0.5625	0.75	0.5	0.64	0.5454545454545454	0.7	1.0	0.7	0.3333333333333333	0.625	0.5714285714285714	0.5714285714285714	0.9624579558020578
3.8.3.4.7	102.6.13	102.6	The RLVW application shall calculate if a vehicle will violate the Red Light stop bar at a signalized intersection base d on its current speed, heading, acceleration, location, location of stop bars, stop bar tolerance and yellow duration tolerance.	Need to reduce crashes between vehicles	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	2	3	19	11	5	2	17	9	8	4	9	2	6	6	6	1.0	1.0	0.6333333333333333	0.6875	0.625	1.0	0.68	0.8181818181818182	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9864641529859157
3.8.3.4.8	102.6.14	102.6	The RLVW application shall trigger a driver alert for a vehicle approaching a signalized intersection when it determines that a stop is required and the vehicle will violate the Red Light stop bar at a signalized intersection based on its current speed, heading, acceleration, location and the location of stop bars.	Need to reduce crashes between vehicles	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	3	19	11	4	2	17	9	8	4	9	2	6	6	6	0.5	1.0	0.6333333333333333	0.6875	0.5	1.0	0.68	0.8181818181818182	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9794426400578675
3.8.3.4.9	102.6.15	102.6	The RLVW application shall alert drivers in time for the driver to take action for a required stop at a signalized intersection.	Need to reduce crashes between vehicles	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	3	24	14	6	2	21	11	9	4	9	3	7	6	6	0.5	1.0	0.8	0.875	0.75	1.0	0.84	1.0	0.9	1.0	0.9	1.0	0.875	0.8571428571428571	0.8571428571428571	0.98962866143745
3.8.3.4.10	102.6.16	102.6	The RLVW Application shall not alert the driver if the vehicle has safely stopped at the intersection and subsequently accelerates such that a violation occurs.	Need to reduce crashes between vehicles	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	2	3	19	12	5	2	17	10	8	4	9	2	6	6	6	1.0	1.0	0.6333333333333333	0.75	0.625	1.0	0.68	0.9090909090909091	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9870594461288583
3.8.3.4.11	102.6.18	102.6	The RLVW application shall acquire the following from Intersection MAP messages for use in RLVW advisory and alert calculations: 1. Intersection geometric information 2. Signal Phase and Timing information of the traffic signal at the Intersection 3. Intersection status of the traffic controller 4. Traffic law restrictions for the intersection	Need to reduce crashes between vehicles	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	3	21	10	5	1	20	7	7	4	7	1	5	4	4	0.5	1.0	0.7	0.625	0.625	0.5	0.8	0.6363636363636364	0.7	1.0	0.7	0.3333333333333333	0.625	0.5714285714285714	0.5714285714285714	0.9683211363893213
3.8.3.5.1	103.1.1	103.0	The ASD shall advise the driver of a potential crash before the bridge, overpass, or tunnel to exit the restricted roadway and find an alternate route. (Note: Advisory Distance Threshold Parameter is defined in Table E -1 in the Appendix.)	Need to reduce crashes between vehicles and infrastructure	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	3	17	10	2	1	16	9	7	4	8	1	5	5	5	0.5	1.0	0.5666666666666667	0.625	0.25	0.5	0.64	0.8181818181818182	0.7	1.0	0.8	0.3333333333333333	0.625	0.7142857142857143	0.7142857142857143	0.9547210145166027
3.8.3.5.2	103.1.2	103.0	The ASD shall warn the driver of an impending crash before the over -height bridge, overpass, or tunnel to stop the vehicle completely and avoid the crash. (Note: Warning Distance Threshold Parameter is defined in Table E -1 in the Appendix.)	Need to reduce crashes between vehicles and infrastructure	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	3	17	10	2	1	16	9	7	4	8	1	5	5	5	0.5	1.0	0.5666666666666667	0.625	0.25	0.5	0.64	0.8181818181818182	0.7	1.0	0.8	0.3333333333333333	0.625	0.7142857142857143	0.7142857142857143	0.9547210145166027
3.8.3.5.3	103.2.1	103.0	The OVC application shall calculate whether or n ot the vehicle is at risk of crash by comparing the vehicle's height and the height of the roadway restriction.	Need to reduce crashes between vehicles and infrastructure	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	3	21	13	5	2	19	10	7	4	9	3	6	6	6	1.0	1.0	0.7	0.8125	0.625	1.0	0.76	0.9090909090909091	0.7	1.0	0.9	1.0	0.75	0.8571428571428571	0.8571428571428571	0.9896262124113244
3.8.3.5.4	103.3.1	103.0	The OVC application shall utilize the host vehicle's pre -established height in determining whether to alert the driver.	Need to reduce crashes between vehicles and infrastructure	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	3	23	13	6	2	20	11	9	4	9	2	7	6	6	0.5	1.0	0.7666666666666667	0.8125	0.75	1.0	0.8	1.0	0.9	1.0	0.9	0.6666666666666666	0.875	0.8571428571428571	0.8571428571428571	0.987540061133483
3.8.3.5.5	103.3.2	103.0	The OV C application shall determine the location of the vehicle relative to the location of the size -restricted or weight restricted roadway.	Need to reduce crashes between vehicles and infrastructure	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	3	23	13	5	2	20	11	8	4	9	2	6	6	6	0.5	1.0	0.7666666666666667	0.8125	0.625	1.0	0.8	1.0	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9850039143299749
3.8.3.5.6	103.3.3	103.0	The RSU shall contain the roadway's clearance height and communicate it to the ASD via DSRC.	Need to reduce crashes between vehicles and infrastructure	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	24	12	4	2	20	10	9	4	10	3	7	7	7	0.5	1.0	0.8	0.75	0.5	1.0	0.8	0.9090909090909091	0.9	1.0	1.0	1.0	0.875	1.0	1.0	0.9820114061277271
3.8.3.6.1	105.1.2	105.0	The NYC CVPD performance monitoring subsystem shall utilize the post-processed event data and measure the number of vehicles receiving emergency information Before and After periods.	Need to inform drivers of serious incidents	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	23	12	5	2	19	10	9	4	10	2	7	7	7	1.0	1.0	0.7666666666666667	0.75	0.625	1.0	0.76	0.9090909090909091	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9892202850111561
3.8.3.7.1	104.1.5	104.1	A PEDINXWALK alert shall be displayed if a pedestrian has been detected in a crosswalk that intersects the Transit Vehicle’s planned forward, left or right turn route at the intersection.	Need to reduce crashes between vehicles and pedestrians / bicyclists	1	0	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	2	2	20	11	7	2	17	11	9	4	9	2	7	6	6	1.0	0.6666666666666666	0.6666666666666666	0.6875	0.875	1.0	0.68	1.0	0.9	1.0	0.9	0.6666666666666666	0.875	0.8571428571428571	0.8571428571428571	0.988381427547313
3.8.3.7.2	104.1.7	104.1	The Pedestrian Detector shall send a pedestrian detected si gnal when a pedestrian is present in the crosswalk it monitors.	Need to reduce crashes between vehicles and pedestrians / bicyclists	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	22	12	6	2	18	11	9	4	10	2	7	7	7	1.0	1.0	0.7333333333333333	0.75	0.75	1.0	0.72	1.0	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9901362822627485
3.8.3.7.3	104.1.8	104.1	The Pedestrian Detectors shall be pole mountable.	Need to reduce crashes between vehicles and pedestrians / bicyclists	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	25	12	7	2	20	9	7	4	10	2	7	7	7	1.0	1.0	0.8333333333333334	0.75	0.875	1.0	0.8	0.8181818181818182	0.7	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.991355245158741
3.8.3.7.4	104.1.10	104.1	The PEDINXWALK System Latency for pedestrian detection shall be no more than 2 seconds from detecting pedestrian to alert.	Need to reduce crashes between vehicles and pedestrians / bicyclists	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	3	25	12	7	1	21	10	9	4	9	1	7	6	6	0.5	1.0	0.8333333333333334	0.75	0.875	0.5	0.84	0.9090909090909091	0.9	1.0	0.9	0.3333333333333333	0.875	0.8571428571428571	0.8571428571428571	0.9730754189674766
3.8.3.7.5	104.1.12	104.1	The PEDINXWALK application shall receive Signal Phase and Timing for Pedestrian Lanes and Pedestrian presence detection from the SPaT system.	Need to reduce crashes between vehicles and pedestrians / bicyclists	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	3	24	13	6	2	21	11	9	4	9	2	7	6	6	0.5	1.0	0.8	0.8125	0.75	1.0	0.84	1.0	0.9	1.0	0.9	0.6666666666666666	0.875	0.8571428571428571	0.8571428571428571	0.9879719838450306
3.8.4.1.1	104.2.3	104.2	The PED-SIG application shall correctly discern the pedestrian's position and intended crossing direction.	Need to reduce crashes between vehicles and visually / audibly - impaired pedestrians	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	2	3	22	11	5	2	19	9	7	4	9	2	6	6	6	1.0	1.0	0.7333333333333333	0.6875	0.625	1.0	0.76	0.8181818181818182	0.7	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9880301110777671
3.8.4.1.2	104.2.4	104.2	The PED -SIG application shall provide status of the walk signal in the intended direction.	Need to reduce crashes between vehicles and visually / audibly - impaired pedestrians	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	3	27	14	7	2	23	11	8	4	9	3	6	6	6	1.0	1.0	0.9	0.875	0.875	1.0	0.92	1.0	0.8	1.0	0.9	1.0	0.75	0.8571428571428571	0.8571428571428571	0.9962769057005519
3.8.4.1.3	104.2.7	104.2	The PED -SIG application shall advise (via audio) the pedestrian how to use the application.	Need to reduce crashes between vehicles and visually / audibly - impaired pedestrians	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	3	26	14	5	2	23	11	9	4	9	3	7	6	6	0.5	1.0	0.8666666666666667	0.875	0.625	1.0	0.92	1.0	0.9	1.0	0.9	1.0	0.875	0.8571428571428571	0.8571428571428571	0.9879079793431139
3.8.4.1.4	104.3.1	104.2	The PED -SIG application shall receive intersection geometry information from the RSU based on J2735 -201603.	Need to reduce crashes between vehicles and visually / audibly - impaired pedestrians	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	2	3	26	13	7	1	22	10	8	4	9	2	6	6	6	1.0	1.0	0.8666666666666667	0.8125	0.875	0.5	0.88	0.9090909090909091	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9887522734202738
3.8.4.1.5	104.3.2	104.2	The PED -SIG application shall use the intersection geometry information to determine the pedestrian's orientation.	Need to reduce crashes between vehicles and visually / audibly - impaired pedestrians	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	3	25	13	6	2	21	10	7	4	9	3	6	6	6	0.5	1.0	0.8333333333333334	0.8125	0.75	1.0	0.84	0.9090909090909091	0.7	1.0	0.9	1.0	0.75	0.8571428571428571	0.8571428571428571	0.988017868189206
3.8.4.1.6	104.3.3	104.2	The PED -SIG application shall use the intersection geometry information provided by the MAP message to determine the crosswalk geometry of the intended crossing.	Need to reduce crashes between vehicles and visually / audibly - impaired pedestrians	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	3	25	14	6	2	21	11	8	4	9	3	6	6	6	0.5	1.0	0.8333333333333334	0.875	0.75	1.0	0.84	1.0	0.8	1.0	0.9	1.0	0.75	0.8571428571428571	0.8571428571428571	0.9886754170598148
3.8.4.1.7	104.3.8	104.2	The PED -SIG Applicati on shall determine the intended crossing time from the intersection geographic information (distance) and the expected pedestrian travel rate (configurable).	Need to reduce crashes between vehicles and visually / audibly - impaired pedestrians	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	2	3	22	12	5	2	18	10	8	4	9	2	6	6	6	1.0	1.0	0.7333333333333333	0.75	0.625	1.0	0.72	0.9090909090909091	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9892029966641303
3.8.4.1.8	104.3.9	104.2	The PED -SIG application shall collect data on the map error status notification. (partial, unable to detect). (Note: this is intended to assist the system in troubleshooting problems; the quality of the MAP data is critical to the application and this requirements ensures that such issues are made known to the central system for correction. This assumes that the application notifies the PED whenever it encounters a geographic computation error.)	Need to reduce crashes between vehicles and visually / audibly - impaired pedestrians	1	1	1	1	0	1	0	1	1	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	3	16	9	2	2	14	8	6	4	8	2	5	5	5	0.5	1.0	0.5333333333333333	0.5625	0.25	1.0	0.56	0.7272727272727273	0.6	1.0	0.8	0.6666666666666666	0.625	0.7142857142857143	0.7142857142857143	0.9595971443830182
3.8.4.1.9	104.4.6	104.2	The PED -SIG application on the PID shall acquire credentials from the SCMS that will allow it to authenticate the SPaT and MAP messages received.	Need to reduce crashes between vehicles and visually / audibly - impaired pedestrians	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	3	21	13	5	2	18	11	8	4	9	3	6	6	6	0.5	1.0	0.7	0.8125	0.625	1.0	0.72	1.0	0.8	1.0	0.9	1.0	0.75	0.8571428571428571	0.8571428571428571	0.9842114270332811
3.8.4.1.10	104.4.8	104.2	The SCMS shall be able to set service specific permissions associated with the future support of pedestrian requests from the PID.	Need to reduce crashes between vehicles and visually / audibly - impaired pedestrians	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	24	12	6	2	19	10	8	4	10	2	7	7	7	0.5	1.0	0.8	0.75	0.75	1.0	0.76	0.9090909090909091	0.8	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9853358040152991
3.8.4.1.11	104.4.10	104.2	Applications on the PID shall be able to sign messages transmitted to the RSU.	Need to reduce crashes between vehicles and visually / audibly - impaired pedestrians	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	24	12	6	2	19	10	8	4	10	2	7	7	7	0.5	1.0	0.8	0.75	0.75	1.0	0.76	0.9090909090909091	0.8	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9853358040152991
3.8.4.1.12	104.4.11	104.2	Applications shall be capable of including a unique ID which shall remain stable (unchanged) throughout the PID's interaction with a single intersection.	Need to reduce crashes between vehicles and visually / audibly - impaired pedestrians	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	2	3	22	11	6	2	18	10	7	4	9	2	6	6	6	1.0	1.0	0.7333333333333333	0.6875	0.75	1.0	0.72	0.9090909090909091	0.7	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9893807360514199
3.8.4.1.13	104.5.1	104.2	The PED -SIG application shall provide information to the pedestrian based on the content of the SPaT and MAP message at the nearest intersection.	Need to reduce crashes between vehicles and visually / audibly - impaired pedestrians	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	3	23	13	5	2	20	11	8	4	9	2	6	6	6	0.5	1.0	0.7666666666666667	0.8125	0.625	1.0	0.8	1.0	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9850039143299749
3.8.4.1.14	104.5.2	104.2	The Application on the PID shall assist the pedestrian in determining his/her orientation. (Note: Definition of orientation: to understand which street crossing the pedestrian is facing.)	Need to reduce crashes between vehicles and visually / audibly - impaired pedestrians	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	3	23	12	4	2	19	10	8	4	9	3	6	6	6	0.5	1.0	0.7666666666666667	0.75	0.5	1.0	0.76	0.9090909090909091	0.8	1.0	0.9	1.0	0.75	0.8571428571428571	0.8571428571428571	0.9823824695644611
3.8.4.1.15	104.5.3	104.2	The PID application shall provide information to the pedestrian regarding the availability of PED support services at the intersection. (If there is an RSU)	Need to reduce crashes between vehicles and visually / audibly - impaired pedestrians	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	3	24	12	3	2	21	11	7	4	8	3	5	5	5	0.5	1.0	0.8	0.75	0.375	1.0	0.84	1.0	0.7	1.0	0.8	1.0	0.625	0.7142857142857143	0.7142857142857143	0.9728080202211815
3.8.4.1.16	104.5.4	104.2	Application shall provide information to the pedestrian indicating the s tatus of the pedestrian signal for the intended crossing including walk time remaining, clearance time remaining, and time until the next walk signal is expected.	Need to reduce crashes between vehicles and visually / audibly - impaired pedestrians	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	3	22	12	6	2	19	10	10	4	10	2	8	7	7	0.5	1.0	0.7333333333333333	0.75	0.75	1.0	0.76	0.9090909090909091	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.9839491774854496
3.8.4.1.17	104.5.6	104.2	The PED Applications shall allow the pedestrian to configure selected parameters and characteristics such as sound volume, voice commands, and walking speeds.	Need to reduce crashes between vehicles and visually / audibly - impaired pedestrians	0	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	3	17	9	4	2	15	9	7	4	9	2	6	6	6	0.5	1.0	0.5666666666666667	0.5625	0.5	1.0	0.6	0.8181818181818182	0.7	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9737553340608589
3.8.4.1.18	104.5.8	104.2	The application shall notify the pedestrian if there is a preemption or priority change (TSP) operation taking place which may disrupt the signal timing.	Need to reduce crashes between vehicles and visually / audibly - impaired pedestrians	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	3	23	13	6	2	20	11	9	4	9	3	7	6	6	1.0	1.0	0.7666666666666667	0.8125	0.75	1.0	0.8	1.0	0.9	1.0	0.9	1.0	0.875	0.8571428571428571	0.8571428571428571	0.9950219303929128
